LocationID,Borough,Zone,service_zone,Type
1,EWR,Newark Airport,EWR,Airport
2,Queens,Jamaica Bay,Boro Zone,Bay
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Neighborhood
4,Manhattan,Alphabet City,Yellow Zone,City
5,Staten Island,Arden Heights,Boro Zone,Neighborhood
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Historical
7,Queens,Astoria,Boro Zone,Neighborhood
8,Queens,Astoria Park,Boro Zone,Park
9,Queens,Auburndale,Boro Zone,Neighborhood
10,Queens,Baisley Park,Boro Zone,Park
11,Brooklyn,Bath Beach,Boro Zone,Neighborhood
12,Manhattan,Battery Park,Yellow Zone,Park
13,Manhattan,Battery Park City,Yellow Zone,Neighborhood
14,Brooklyn,Bay Ridge,Boro Zone,Neighborhood
15,Queens,Bay Terrace/Fort Totten,Boro Zone,Historical
16,Queens,Bayside,Boro Zone,Neighborhood
17,Brooklyn,Bedford,Boro Zone,Town
18,Bronx,Bedford Park,Boro Zone,Neighborhood
19,Queens,Bellerose,Boro Zone,Village
20,Bronx,Belmont,Boro Zone,Village
21,Brooklyn,Bensonhurst East,Boro Zone,Neighborhood
22,Brooklyn,Bensonhurst West,Boro Zone,Neighborhood
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Neighborhood
24,Manhattan,Bloomingdale,Yellow Zone,Hamlet
25,Brooklyn,Boerum Hill,Boro Zone,Neighborhood
26,Brooklyn,Borough Park,Boro Zone,Neighborhood
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Tourist Attraction
28,Queens,Briarwood/Jamaica Hills,Boro Zone,Neighborhood
29,Brooklyn,Brighton Beach,Boro Zone,Neighborhood
30,Queens,Broad Channel,Boro Zone,Neighborhood
31,Bronx,Bronx Park,Boro Zone,Neighborhood
32,Bronx,Bronxdale,Boro Zone,Neighborhood
33,Brooklyn,Brooklyn Heights,Boro Zone,Neighborhood
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Tourist Attraction
35,Brooklyn,Brownsville,Boro Zone,Neighborhood
36,Brooklyn,Bushwick North,Boro Zone,Tourist Attraction
37,Brooklyn,Bushwick South,Boro Zone,Tourist Attraction
38,Queens,Cambria Heights,Boro Zone,Neighborhood
39,Brooklyn,Canarsie,Boro Zone,Neighborhood
40,Brooklyn,Carroll Gardens,Boro Zone,Neighborhood
41,Manhattan,Central Harlem,Boro Zone,Neighborhood
42,Manhattan,Central Harlem North,Boro Zone,Neighborhood
43,Manhattan,Central Park,Yellow Zone,Park
44,Staten Island,Charleston/Tottenville,Boro Zone,Neighborhood
45,Manhattan,Chinatown,Yellow Zone,Neighborhood
46,Bronx,City Island,Boro Zone,Neighborhood
47,Bronx,Claremont/Bathgate,Boro Zone,Neighborhood
48,Manhattan,Clinton East,Yellow Zone,Town
49,Brooklyn,Clinton Hill,Boro Zone,Neighborhood
50,Manhattan,Clinton West,Yellow Zone,Neighborhood
51,Bronx,Co-Op City,Boro Zone,Neighborhood
52,Brooklyn,Cobble Hill,Boro Zone,Neighborhood
53,Queens,College Point,Boro Zone,Neighborhood
54,Brooklyn,Columbia Street,Boro Zone,Neighborhood
55,Brooklyn,Coney Island,Boro Zone,Neighborhood
56,Queens,Corona,Boro Zone,Neighborhood
57,Queens,Corona,Boro Zone,Neighborhood
58,Bronx,Country Club,Boro Zone,Neighborhood
59,Bronx,Crotona Park,Boro Zone,Park
60,Bronx,Crotona Park East,Boro Zone,Neighborhood
61,Brooklyn,Crown Heights North,Boro Zone,Neighborhood
62,Brooklyn,Crown Heights South,Boro Zone,Neighborhood
63,Brooklyn,Cypress Hills,Boro Zone,Neighborhood
64,Queens,Douglaston,Boro Zone,Neighborhood
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Distrct
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Neighborhood
67,Brooklyn,Dyker Heights,Boro Zone,Neighborhood
68,Manhattan,East Chelsea,Yellow Zone,Neighborhood
69,Bronx,East Concourse/Concourse Village,Boro Zone,Neighborhood
70,Queens,East Elmhurst,Boro Zone,Neighborhood
71,Brooklyn,East Flatbush/Farragut,Boro Zone,Neighborhood
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,Neighborhood
73,Queens,East Flushing,Boro Zone,Neighborhood
74,Manhattan,East Harlem North,Boro Zone,Neighborhood
75,Manhattan,East Harlem South,Boro Zone,Neighborhood
76,Brooklyn,East New York,Boro Zone,Neighborhood
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,Station
78,Bronx,East Tremont,Boro Zone,Neighborhood
79,Manhattan,East Village,Yellow Zone,Neighborhood
80,Brooklyn,East Williamsburg,Boro Zone,Neighborhood
81,Bronx,Eastchester,Boro Zone,Town
82,Queens,Elmhurst,Boro Zone,Neighborhood
83,Queens,Elmhurst/Maspeth,Boro Zone,Neighborhood
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,Neighborhood
85,Brooklyn,Erasmus,Boro Zone,School
86,Queens,Far Rockaway,Boro Zone,Neighborhood
87,Manhattan,Financial District North,Yellow Zone,Neighborhood
88,Manhattan,Financial District South,Yellow Zone,Neighborhood
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,Neighborhood
90,Manhattan,Flatiron,Yellow Zone,Neighborhood
91,Brooklyn,Flatlands,Boro Zone,Neighborhood
92,Queens,Flushing,Boro Zone,Neighborhood
93,Queens,Flushing Meadows-Corona Park,Boro Zone,Park
94,Bronx,Fordham South,Boro Zone,Neighborhood
95,Queens,Forest Hills,Boro Zone,Neighborhood
96,Queens,Forest Park/Highland Park,Boro Zone,Park
97,Brooklyn,Fort Greene,Boro Zone,Neighborhood
98,Queens,Fresh Meadows,Boro Zone,Neighborhood
99,Staten Island,Freshkills Park,Boro Zone,Park
100,Manhattan,Garment District,Yellow Zone,Neighborhood
101,Queens,Glen Oaks,Boro Zone,Neighborhood
102,Queens,Glendale,Boro Zone,Neighborhood
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Enclave
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Enclave
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,Enclave
106,Brooklyn,Gowanus,Boro Zone,Neighborhood
107,Manhattan,Gramercy,Yellow Zone,Neighborhood
108,Brooklyn,Gravesend,Boro Zone,Neighborhood
109,Staten Island,Great Kills,Boro Zone,Neighborhood
110,Staten Island,Great Kills Park,Boro Zone,Park
111,Brooklyn,Green-Wood Cemetery,Boro Zone,Cemetery
112,Brooklyn,Greenpoint,Boro Zone,District
113,Manhattan,Greenwich Village North,Yellow Zone,Neighborhood
114,Manhattan,Greenwich Village South,Yellow Zone,Neighborhood
115,Staten Island,Grymes Hill/Clifton,Boro Zone,Neighborhood
116,Manhattan,Hamilton Heights,Boro Zone,District
117,Queens,Hammels/Arverne,Boro Zone,Neighborhood
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,Neighborhood
